Fecha: 2026-09-03 | Hora: 19:58:59 | Ruta: /usuarios/10,0 resultados: 5
Fecha: 2026-09-03 | Hora: 19:59:02 | Ruta: /usuarios/10,0 resultados: 5
Fecha: 2026-09-03 | Hora: 19:59:21 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:01:04 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:01:13 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:01:25 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:02:21 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:02:28 | Ruta: /usuarios/10,0 resultados: 6
Fecha: 2026-09-04 | Hora: 20:04:02 | Ruta: /
Fecha: 2026-09-04 | Hora: 20:04:06 | Ruta: /usuarios/10,0 resultados: 6
Fecha: 2026-09-04 | Hora: 20:06:02 | Ruta: /usuarios/10,0 resultados: 5
Fecha: 2026-09-04 | Hora: 20:06:05 | Ruta: /usuarios/10,0 resultados: 5
Fecha: 2026-09-04 | Hora: 20:06:47 | Ruta: /
Fecha: 2026-09-04 | Hora: 20:08:18 | Ruta: /
Fecha: 2026-09-04 | Hora: 20:09:40 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:10:13 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:10:24 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:11:22 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:12:38 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:12:43 | Ruta: /usuarios/id::idla sintaxis de entrada no es válida para tipo integer: «:id»
Fecha: 2026-09-04 | Hora: 20:12:50 | Ruta: /usuarios/id:1
Fecha: 2026-09-04 | Hora: 20:12:55 | Ruta: /usuarios/id:2
Fecha: 2026-09-04 | Hora: 20:12:58 | Ruta: /usuarios/id:3
Fecha: 2026-09-04 | Hora: 20:13:15 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:13:19 | Ruta: /usuarios/id:3SELECT id, nombre, email FROM usuarios WHERE id = $1
Fecha: 2026-09-04 | Hora: 20:13:32 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:13:40 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:13:42 | Ruta: /usuarios/id:3 [object Object]
Fecha: 2026-09-04 | Hora: 20:13:57 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:14:01 | Ruta: Inicio de Servidor
Fecha: 2026-09-04 | Hora: 20:14:03 | Ruta: /usuarios/id:3 [object Object]
